Unnamed: 0,Subject,Event,TrialN,mean_pupil,time
527,Subject_2,Simple,5,0.224926393301009,300
528,Subject_2,Simple,5,0.301488229993933,350
529,Subject_2,Simple,5,0.356634867421078,400
530,Subject_2,Simple,5,0.457019373192896,450
531,Subject_2,Simple,5,0.515753342405161,500
532,Subject_2,Simple,5,0.560057545955053,550
533,Subject_2,Simple,5,0.602419411174767,600
534,Subject_2,Simple,5,0.663799212585907,650
535,Subject_2,Simple,5,0.714864219697094,700
536,Subject_2,Simple,5,0.770211916466613,750
537,Subject_2,Simple,5,0.836984509407763,800
538,Subject_2,Simple,5,0.898782277867462,850
539,Subject_2,Simple,5,0.913804628479275,900
540,Subject_2,Simple,5,0.999606339504416,950
541,Subject_2,Simple,5,1.02620059702275,1000
542,Subject_2,Simple,5,1.0409941900498,1050
543,Subject_2,Simple,5,1.07501319125538,1100
544,Subject_2,Simple,5,1.0708066443515,1150
545,Subject_2,Simple,5,1.06902486919932,1200
546,Subject_2,Simple,5,1.07301545530292,1250
547,Subject_2,Simple,5,1.0768733023348,1300
548,Subject_2,Simple,5,1.01628984568324,1350
549,Subject_2,Simple,5,1.00783783951176,1400
550,Subject_2,Simple,5,0.96104973867635,1450
